"ID","TITLE","CATEGORY","AGE","COUNTER"
1,"一个陌生女人的来信","双语阅读","10-12岁",1
10,"鼠疫","双语阅读","10-12岁",2
100,"姑娘与习惯","双语阅读","7-9岁",3
101,"灵魂和摩天大楼","双语阅读","10-12岁",4
102,"新天方夜谭","双语阅读","10-12岁",5
103,"风险家","双语阅读","7-9岁",6
104,"篝火旁的纽约","双语阅读","7-9岁",7
105,"最后一片藤叶","双语阅读","7-9岁",8
106,"瓶中手稿","双语阅读","10-12岁",9
107,"绝境","双语阅读","7-9岁",10
108,"言语的力量","双语阅读","10-12岁",11
109,"骗术","双语阅读","10-12岁",12
11,"简 爱","双语阅读","10-12岁",13
110,"跳蛙","双语阅读","10-12岁",14
111,"同木乃伊对话","双语阅读","10-12岁",15
112,"焦油博士和羽毛教授的疗法","双语阅读","7-9岁",16
113,"眼镜","双语阅读","7-9岁",17
114,"生意人","双语阅读","7-9岁",18
115,"斯芬克司","双语阅读","7-9岁",19
116,"钟楼里的魔鬼","双语阅读","7-9岁",20
117,"气球骗局","双语阅读","10-12岁",21
118,"一桶白葡萄酒","双语阅读","7-9岁",22
119,"辛格姆 鲍勃先生的文学生涯","双语阅读","10-12岁",23
12,"远大前程","双语阅读","10-12岁",24
120,"红死病魔的面具","双语阅读","10-12岁",25
121,"一次电话交谈","双语阅读","10-12岁",26
122,"威廉三世的肖像","双语阅读","10-12岁",27
123,"躺在床上的危险","双语阅读","7-9岁",28
124,"第一台打字机","双语阅读","10-12岁",29
125,"时尚一例","双语阅读","7-9岁",30
126,"历史重现","双语阅读","10-12岁",31
127,"尊为奇人","双语阅读","7-9岁",32
128,"中国人约翰在纽约","双语阅读","7-9岁",33
129,"一只狗的故事","双语阅读","10-12岁",34
13,"雾都孤儿","双语阅读","10-12岁",35
130,"运气","双语阅读","10-12岁",36
131,"竞选州长","双语阅读","7-9岁",37
132,"科学对阵运气","双语阅读","10-12岁",38
133,"殡仪员的闲谈","双语阅读","10-12岁",39
134,"办公室里的讨厌鬼","双语阅读","7-9岁",40
135,"饲养家禽","双语阅读","7-9岁",41
136,"“两岁婴孩”的妙语","双语阅读","7-9岁",42
137,"我的前参议员秘书生涯","双语阅读","7-9岁",43
138,"圣经故事全景画家","双语阅读","7-9岁",44
139,"经过修订的讣告","双语阅读","7-9岁",45
14,"了不起的盖茨比","双语阅读","10-12岁",46
140,"猎捕狡猾的火鸡","双语阅读","10-12岁",47
141,"已故的本杰明 富兰克林","双语阅读","10-12岁",48
142,"爱尔兰的“教派口号”","双语阅读","7-9岁",49
143,"一位健康的老人","双语阅读","7-9岁",50
144,"一次神秘的拜访","双语阅读","10-12岁",51
145,"漫谈理发师","双语阅读","7-9岁",52
146,"给小女孩的忠告","双语阅读","10-12岁",53
147,"餐后致辞","双语阅读","10-12岁",54
148,"一篇有趣的文章","双语阅读","10-12岁",55
149,"诙谐自传","双语阅读","10-12岁",56
15,"戴西 米勒","双语阅读","7-9岁",57
150,"人生的五种恩赐","双语阅读","7-9岁",58
151,"王子与贫儿","双语阅读","10-12岁",59
152,"汤姆 索耶在国外","双语阅读","7-9岁",60
153,"汤姆 索耶探案","双语阅读","10-12岁",61
154,"棕色的沃尔夫","双语阅读","10-12岁",62
155,"有伤疤的人","双语阅读","7-9岁",63
156,"疑犯从宽","双语阅读","7-9岁",64
157,"意外","双语阅读","10-12岁",65
158,"在甲板的天棚下","双语阅读","7-9岁",66
159,"强者的力量","双语阅读","10-12岁",67
16,"伊凡 伊里奇之死","双语阅读","10-12岁",68
160,"太多金子","双语阅读","7-9岁",69
161,"黄金谷","双语阅读","7-9岁",70
162,"故事的结局","双语阅读","7-9岁",71
163,"为赶路的人干杯","双语阅读","10-12岁",72
164,"老头子同盟","双语阅读","7-9岁",73
165,"克里斯 法林顿 一等水手","双语阅读","7-9岁",74
166,"陈阿春","双语阅读","10-12岁",75
167,"圆脸","双语阅读","10-12岁",76
